to Finkbine/Arena
2000;WCTC;41.659423;-91.5521708
2020;Arena East;41.6622274;-91.5562666
2022;Arena West;41.6625262;-91.5575667
125;IMU;41.6623478;-91.5376201
120;Macbride Hall;41.6624601;-91.5357994
1030;Clinton & Iowa;41.6607706;-91.5346899
1;Downtown Interchange - Schaeffer Hall;41.66017;-91.5358999
146;Hubbard Park;41.6613499;-91.538504
263;Student Health;41.6627163;-91.5435105
257;Newton Road Ramp;41.6634;-91.5460059
253;VA Hospital;41.6626713;-91.5486261
245;Newton & Lincoln;41.6635701;-91.5512409
241;Carver Hawkeye Arena;41.6633888;-91.5538508
to Pentacrest
2030;Finkbine North;41.6619715;-91.5609982
2031;Finkbine South;41.6610708;-91.5608136
2017;Arena on Hawkins;41.6623226;-91.5554787
2040;Dental on Elliott;41.6630062;-91.5540368
246;Dental College;41.6634821;-91.551001
254;Hardin Library;41.6626571;-91.5483928
256;MERF;41.66328;-91.5450209
264;PBDB;41.6624991;-91.5436283
145;EPB;41.6612;-91.5403555
